2590	0	[[29276,-34,-58],[29279,-36,-57],[7963,0,0]]
2591	0	[[29277,-34,-58],[29279,-36,-57],[7963,0,0]]
2592	0	[[29278,-34,-58],[29279,-36,-57],[7963,0,0]]
2593	1	[[29282,-2,-29],[29283,-8,-31],[29284,-10,-32],[29285,-9,-31],[29286,-4,-31],[29287,-2,-29],[29288,-4,-34],[29289,-6,-33],[29290,2,-33],[29291,-5,-38],[29292,-7,-31],[29293,-5,-29],[29294,-6,-34],[29295,-5,-33],[29296,-7,-33],[29297,-3,-29],[2955,0,0]]
2594	2	[[29298,0,-14],[29299,-17,-20],[29300,-4,-15],[29301,-2,-19],[29302,-8,-16],[29303,-3,-16],[29304,-3,-17],[29305,-6,-16],[29306,-4,-21],[29307,-8,-23],[29308,-11,-16],[29309,-7,-24],[29310,-8,-26],[2955,0,0]]




2564	0	[[30624,-31,-57],[30625,-36,-71],[7963,0,0]]
2565	0	[[30623,-31,-57],[30625,-36,-71],[7963,0,0]]
2566	0	[[30622,-31,-57],[30625,-36,-71],[7963,0,0]]
2567	1	[[30628,-3,-22],[30629,-8,-27],[30630,-10,-35],[30631,-14,-36],[30632,-2,-33],[30633,-3,-35],[30634,-10,-32],[30635,-11,-33],[30636,-8,-35],[30637,-10,-35],[30638,-8,-34],[30639,-12,-31],[30640,-8,-38],[30641,-12,-34],[30642,-7,-30],[30643,-16,-24],[2955,0,0]]
2568	2	[[30644,-1,-5],[30645,-19,-19],[30646,-5,-18],[30647,-4,-25],[30648,-10,-21],[30649,-13,-19],[30650,0,-17],[30651,-20,-11],[30652,-6,-16],[30653,-18,-17],[30654,-12,-18],[30655,-6,-19],[30656,-12,-18],[2955,0,0]]
